model,game,game_name,motivation,thinking,family,action_rates,most_common,concentration,risk_dom_rate,payoff_dom_rate,n_trials
Claude-Haiku-5.2,stag_hunt,Stag Hunt,sabotage,False,Claude,"{'A': np.float64(0.0), 'B': np.float64(1.0)}",B,1.0,1.0,0.0,30
Claude-Haiku-5.2,stag_hunt,Stag Hunt,self,False,Claude,"{'A': np.float64(0.0), 'B': np.float64(1.0)}",B,1.0,1.0,0.0,30
gemini-2.5-flash,battle_of_sexes,Battle of the Sexes,neutral,True,Google,"{'A': np.float64(0.7), 'B': np.float64(0.3)}",A,0.7,,,30
gemini-2.5-flash,battle_of_sexes,Battle of the Sexes,real,True,Google,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gemini-2.5-flash,battle_of_sexes,Battle of the Sexes,sabotage,True,Google,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gemini-2.5-flash,battle_of_sexes,Battle of the Sexes,self,True,Google,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gemini-2.5-flash,coordination_game,Coordination Game,neutral,True,Google,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gemini-2.5-flash,coordination_game,Coordination Game,real,True,Google,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gemini-2.5-flash,coordination_game,Coordination Game,sabotage,True,Google,"{'A': np.float64(0.7), 'B': np.float64(0.3)}",A,0.7,,,30
gemini-2.5-flash,coordination_game,Coordination Game,self,True,Google,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gemini-2.5-flash,hawk_dove,Hawk-Dove,neutral,True,Google,"{'A': np.float64(0.5666666666666667), 'B': np.float64(0.43333333333333335)}",A,0.5666666666666667,,,30
gemini-2.5-flash,hawk_dove,Hawk-Dove,real,True,Google,"{'A': np.float64(0.26666666666666666), 'B': np.float64(0.7333333333333333)}",B,0.7333333333333333,,,30
gemini-2.5-flash,hawk_dove,Hawk-Dove,sabotage,True,Google,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gemini-2.5-flash,hawk_dove,Hawk-Dove,self,True,Google,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gemini-2.5-flash,stag_hunt,Stag Hunt,neutral,True,Google,"{'A': np.float64(0.4), 'B': np.float64(0.6)}",B,0.6,0.6,0.4,30
gemini-2.5-flash,stag_hunt,Stag Hunt,real,True,Google,"{'A': np.float64(0.4), 'B': np.float64(0.6)}",B,0.6,0.6,0.4,30
gemini-2.5-flash,stag_hunt,Stag Hunt,sabotage,True,Google,"{'A': np.float64(0.0), 'B': np.float64(1.0)}",B,1.0,1.0,0.0,30
gemini-2.5-flash,stag_hunt,Stag Hunt,self,True,Google,"{'A': np.float64(0.3333333333333333), 'B': np.float64(0.6666666666666666)}",B,0.6666666666666666,0.6666666666666666,0.3333333333333333,30
gemini-2.5-flash-lite,battle_of_sexes,Battle of the Sexes,neutral,False,Google,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gemini-2.5-flash-lite,battle_of_sexes,Battle of the Sexes,real,False,Google,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gemini-2.5-flash-lite,battle_of_sexes,Battle of the Sexes,sabotage,False,Google,"{'A': np.float64(0.7333333333333333), 'B': np.float64(0.26666666666666666)}",A,0.7333333333333333,,,30
gemini-2.5-flash-lite,battle_of_sexes,Battle of the Sexes,self,False,Google,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gemini-2.5-flash-lite,coordination_game,Coordination Game,neutral,False,Google,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gemini-2.5-flash-lite,coordination_game,Coordination Game,real,False,Google,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gemini-2.5-flash-lite,coordination_game,Coordination Game,sabotage,False,Google,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gemini-2.5-flash-lite,coordination_game,Coordination Game,self,False,Google,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gemini-2.5-flash-lite,hawk_dove,Hawk-Dove,neutral,False,Google,"{'A': np.float64(0.7333333333333333), 'B': np.float64(0.26666666666666666)}",A,0.7333333333333333,,,30
gemini-2.5-flash-lite,hawk_dove,Hawk-Dove,real,False,Google,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gemini-2.5-flash-lite,hawk_dove,Hawk-Dove,sabotage,False,Google,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gemini-2.5-flash-lite,hawk_dove,Hawk-Dove,self,False,Google,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gemini-2.5-flash-lite,stag_hunt,Stag Hunt,neutral,False,Google,"{'A': np.float64(0.43333333333333335), 'B': np.float64(0.5666666666666667)}",B,0.5666666666666667,0.5666666666666667,0.43333333333333335,30
gemini-2.5-flash-lite,stag_hunt,Stag Hunt,real,False,Google,"{'A': np.float64(0.5333333333333333), 'B': np.float64(0.4666666666666667)}",A,0.5333333333333333,0.4666666666666667,0.5333333333333333,30
gemini-2.5-flash-lite,stag_hunt,Stag Hunt,sabotage,False,Google,"{'A': np.float64(0.0), 'B': np.float64(1.0)}",B,1.0,1.0,0.0,30
gemini-2.5-flash-lite,stag_hunt,Stag Hunt,self,False,Google,"{'A': np.float64(0.23333333333333334), 'B': np.float64(0.7666666666666667)}",B,0.7666666666666667,0.7666666666666667,0.23333333333333334,30
gpt-5.5,battle_of_sexes,Battle of the Sexes,neutral,False,OpenAI,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gpt-5.5,battle_of_sexes,Battle of the Sexes,real,False,OpenAI,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gpt-5.5,battle_of_sexes,Battle of the Sexes,sabotage,False,OpenAI,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gpt-5.5,battle_of_sexes,Battle of the Sexes,self,False,OpenAI,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gpt-5.5,coordination_game,Coordination Game,neutral,False,OpenAI,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gpt-5.5,coordination_game,Coordination Game,real,False,OpenAI,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gpt-5.5,coordination_game,Coordination Game,sabotage,False,OpenAI,"{'A': np.float64(0.1), 'B': np.float64(0.9)}",B,0.9,,,30
gpt-5.5,coordination_game,Coordination Game,self,False,OpenAI,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gpt-5.5,hawk_dove,Hawk-Dove,neutral,False,OpenAI,"{'A': np.float64(0.36666666666666664), 'B': np.float64(0.6333333333333333)}",B,0.6333333333333333,,,30
gpt-5.5,hawk_dove,Hawk-Dove,real,False,OpenAI,"{'A': np.float64(0.4), 'B': np.float64(0.6)}",B,0.6,,,30
gpt-5.5,hawk_dove,Hawk-Dove,sabotage,False,OpenAI,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
gpt-5.5,hawk_dove,Hawk-Dove,self,False,OpenAI,"{'A': np.float64(0.7), 'B': np.float64(0.3)}",A,0.7,,,30
gpt-5.5,stag_hunt,Stag Hunt,neutral,False,OpenAI,"{'A': np.float64(0.8), 'B': np.float64(0.2)}",A,0.8,0.2,0.8,30
gpt-5.5,stag_hunt,Stag Hunt,real,False,OpenAI,"{'A': np.float64(0.0), 'B': np.float64(1.0)}",B,1.0,1.0,0.0,30
gpt-5.5,stag_hunt,Stag Hunt,sabotage,False,OpenAI,"{'A': np.float64(0.0), 'B': np.float64(1.0)}",B,1.0,1.0,0.0,30
gpt-5.5,stag_hunt,Stag Hunt,self,False,OpenAI,"{'A': np.float64(0.0), 'B': np.float64(1.0)}",B,1.0,1.0,0.0,30
o4-mini,battle_of_sexes,Battle of the Sexes,neutral,True,OpenAI,"{'A': np.float64(0.8666666666666667), 'B': np.float64(0.13333333333333333)}",A,0.8666666666666667,,,30
o4-mini,battle_of_sexes,Battle of the Sexes,real,True,OpenAI,"{'A': np.float64(0.6), 'B': np.float64(0.4)}",A,0.6,,,30
o4-mini,battle_of_sexes,Battle of the Sexes,sabotage,True,OpenAI,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
o4-mini,battle_of_sexes,Battle of the Sexes,self,True,OpenAI,"{'A': np.float64(0.5), 'B': np.float64(0.5)}",A,0.5,,,30
o4-mini,coordination_game,Coordination Game,neutral,True,OpenAI,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
o4-mini,coordination_game,Coordination Game,real,True,OpenAI,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
o4-mini,coordination_game,Coordination Game,sabotage,True,OpenAI,"{'A': np.float64(0.6333333333333333), 'B': np.float64(0.36666666666666664)}",A,0.6333333333333333,,,30
o4-mini,coordination_game,Coordination Game,self,True,OpenAI,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
o4-mini,hawk_dove,Hawk-Dove,neutral,True,OpenAI,"{'A': np.float64(0.7), 'B': np.float64(0.3)}",A,0.7,,,30
o4-mini,hawk_dove,Hawk-Dove,real,True,OpenAI,"{'A': np.float64(0.5), 'B': np.float64(0.5)}",A,0.5,,,30
o4-mini,hawk_dove,Hawk-Dove,sabotage,True,OpenAI,"{'A': np.float64(1.0), 'B': np.float64(0.0)}",A,1.0,,,30
o4-mini,hawk_dove,Hawk-Dove,self,True,OpenAI,"{'A': np.float64(0.8333333333333334), 'B': np.float64(0.16666666666666666)}",A,0.8333333333333334,,,30
o4-mini,stag_hunt,Stag Hunt,neutral,True,OpenAI,"{'A': np.float64(0.6666666666666666), 'B': np.float64(0.3333333333333333)}",A,0.6666666666666666,0.3333333333333333,0.6666666666666666,30
o4-mini,stag_hunt,Stag Hunt,real,True,OpenAI,"{'A': np.float64(0.0), 'B': np.float64(1.0)}",B,1.0,1.0,0.0,30
o4-mini,stag_hunt,Stag Hunt,sabotage,True,OpenAI,"{'A': np.float64(0.0), 'B': np.float64(1.0)}",B,1.0,1.0,0.0,30
o4-mini,stag_hunt,Stag Hunt,self,True,OpenAI,"{'A': np.float64(0.0), 'B': np.float64(1.0)}",B,1.0,1.0,0.0,30
