model,game,game_name,motivation,thinking,family,game_category,epsilon_nash,eu_empirical,best_deviation
gemini-2.5-flash,prisoners_dilemma,Prisoner's Dilemma,real,True,Google,pure_dominant,0.0,-3.0,-3.0
gemini-2.5-flash,prisoners_dilemma,Prisoner's Dilemma,sabotage,True,Google,pure_dominant,0.0,-3.0,-3.0
gemini-2.5-flash,prisoners_dilemma,Prisoner's Dilemma,self,True,Google,pure_dominant,0.0,-3.0,-3.0
gemini-2.5-flash,rock_paper_scissors,Rock Paper Scissors,neutral,True,Google,mixed,0.4782,0.0,0.4782
gemini-2.5-flash,rock_paper_scissors,Rock Paper Scissors,real,True,Google,mixed,0.6,0.0,0.6
gemini-2.5-flash,rock_paper_scissors,Rock Paper Scissors,sabotage,True,Google,mixed,0.5,0.0,0.5
gemini-2.5-flash,rock_paper_scissors,Rock Paper Scissors,self,True,Google,mixed,0.5667,0.0,0.5667
gemini-2.5-flash,stag_hunt,Stag Hunt,neutral,True,Google,multiple,0.16,1.84,2.0
gemini-2.5-flash,stag_hunt,Stag Hunt,real,True,Google,multiple,0.16,1.84,2.0
gemini-2.5-flash,stag_hunt,Stag Hunt,sabotage,True,Google,multiple,0.0,2.0,2.0
gemini-2.5-flash,stag_hunt,Stag Hunt,self,True,Google,multiple,0.2222,1.7778,2.0
gemini-2.5-flash,zero_sum_matching,Zero-Sum Matching,neutral,True,Google,mixed,0.0,3.0,3.0
gemini-2.5-flash,zero_sum_matching,Zero-Sum Matching,real,True,Google,mixed,0.0,3.0,3.0
gemini-2.5-flash,zero_sum_matching,Zero-Sum Matching,sabotage,True,Google,mixed,0.0,3.0,3.0
gemini-2.5-flash,zero_sum_matching,Zero-Sum Matching,self,True,Google,mixed,0.0,3.0,3.0
gemini-2.5-flash-lite,battle_of_sexes,Battle of the Sexes,neutral,False,Google,multiple,0.0,2.0,2.0
gemini-2.5-flash-lite,battle_of_sexes,Battle of the Sexes,real,False,Google,multiple,0.0,2.0,2.0
gemini-2.5-flash-lite,battle_of_sexes,Battle of the Sexes,sabotage,False,Google,multiple,0.32,1.1466,1.4666
gemini-2.5-flash-lite,battle_of_sexes,Battle of the Sexes,self,False,Google,multiple,0.0,2.0,2.0
gemini-2.5-flash-lite,coordination_game,Coordination Game,neutral,False,Google,multiple,0.0,2.0,2.0
gemini-2.5-flash-lite,coordination_game,Coordination Game,real,False,Google,multiple,0.0,2.0,2.0
gemini-2.5-flash-lite,coordination_game,Coordination Game,sabotage,False,Google,multiple,0.0,2.0,2.0
gemini-2.5-flash-lite,coordination_game,Coordination Game,self,False,Google,multiple,0.0,2.0,2.0
gemini-2.5-flash-lite,hawk_dove,Hawk-Dove,neutral,False,Google,multiple,0.1466,0.3868,0.5334
gemini-2.5-flash-lite,hawk_dove,Hawk-Dove,real,False,Google,multiple,1.0,-1.0,0.0
gemini-2.5-flash-lite,hawk_dove,Hawk-Dove,sabotage,False,Google,multiple,1.0,-1.0,0.0
gemini-2.5-flash-lite,hawk_dove,Hawk-Dove,self,False,Google,multiple,1.0,-1.0,0.0
gemini-2.5-flash-lite,matching_pennies,Matching Pennies,neutral,False,Google,mixed,0.0,1.0,1.0
gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,False,Google,mixed,0.0,1.0,1.0
gemini-2.5-flash-lite,matching_pennies,Matching Pennies,sabotage,False,Google,mixed,0.0,1.0,1.0
gemini-2.5-flash-lite,matching_pennies,Matching Pennies,self,False,Google,mixed,0.0,1.0,1.0
gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,neutral,False,Google,pure_dominant,0.3333,-2.3334,-2.0001
gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,False,Google,pure_dominant,0.0,-3.0,-3.0
gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,sabotage,False,Google,pure_dominant,0.0,-3.0,-3.0
gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,self,False,Google,pure_dominant,0.0,-3.0,-3.0
gemini-2.5-flash-lite,rock_paper_scissors,Rock Paper Scissors,neutral,False,Google,mixed,0.2143,0.0,0.2143
gemini-2.5-flash-lite,rock_paper_scissors,Rock Paper Scissors,real,False,Google,mixed,0.5334,0.0,0.5334
gemini-2.5-flash-lite,rock_paper_scissors,Rock Paper Scissors,sabotage,False,Google,mixed,0.1923,0.0,0.1923
gemini-2.5-flash-lite,rock_paper_scissors,Rock Paper Scissors,self,False,Google,mixed,0.6667,0.0,0.6667
gemini-2.5-flash-lite,stag_hunt,Stag Hunt,neutral,False,Google,multiple,0.1156,1.8844,2.0
gemini-2.5-flash-lite,stag_hunt,Stag Hunt,real,False,Google,multiple,0.0622,2.071,2.1332
gemini-2.5-flash-lite,stag_hunt,Stag Hunt,sabotage,False,Google,multiple,0.0,2.0,2.0
gemini-2.5-flash-lite,stag_hunt,Stag Hunt,self,False,Google,multiple,0.2489,1.7511,2.0
gemini-2.5-flash-lite,zero_sum_matching,Zero-Sum Matching,neutral,False,Google,mixed,0.6,1.2,1.8
gemini-2.5-flash-lite,zero_sum_matching,Zero-Sum Matching,real,False,Google,mixed,0.6222,1.311,1.9332
gemini-2.5-flash-lite,zero_sum_matching,Zero-Sum Matching,sabotage,False,Google,mixed,0.4,1.0,1.4
gemini-2.5-flash-lite,zero_sum_matching,Zero-Sum Matching,self,False,Google,mixed,0.4,1.2,1.6
gpt-5.5,battle_of_sexes,Battle of the Sexes,neutral,False,OpenAI,multiple,0.0,2.0,2.0
gpt-5.5,battle_of_sexes,Battle of the Sexes,real,False,OpenAI,multiple,0.0,2.0,2.0
gpt-5.5,battle_of_sexes,Battle of the Sexes,sabotage,False,OpenAI,multiple,0.0,2.0,2.0
gpt-5.5,battle_of_sexes,Battle of the Sexes,self,False,OpenAI,multiple,0.0,2.0,2.0
gpt-5.5,coordination_game,Coordination Game,neutral,False,OpenAI,multiple,0.0,2.0,2.0
gpt-5.5,coordination_game,Coordination Game,real,False,OpenAI,multiple,0.0,2.0,2.0
gpt-5.5,coordination_game,Coordination Game,sabotage,False,OpenAI,multiple,0.16,1.64,1.8
gpt-5.5,coordination_game,Coordination Game,self,False,OpenAI,multiple,0.0,2.0,2.0
gpt-5.5,hawk_dove,Hawk-Dove,neutral,False,OpenAI,multiple,0.5699,1.5966,2.1665
gpt-5.5,hawk_dove,Hawk-Dove,real,False,OpenAI,multiple,0.48,1.52,2.0
gpt-5.5,hawk_dove,Hawk-Dove,sabotage,False,OpenAI,multiple,1.0,-1.0,0.0
gpt-5.5,hawk_dove,Hawk-Dove,self,False,OpenAI,multiple,0.07,0.53,0.6
gpt-5.5,matching_pennies,Matching Pennies,neutral,False,OpenAI,mixed,0.0,1.0,1.0
gpt-5.5,matching_pennies,Matching Pennies,real,False,OpenAI,mixed,0.2222,0.4444,0.6666
gpt-5.5,matching_pennies,Matching Pennies,sabotage,False,OpenAI,mixed,0.0,1.0,1.0
gpt-5.5,matching_pennies,Matching Pennies,self,False,OpenAI,mixed,0.0,1.0,1.0
gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,neutral,False,OpenAI,pure_dominant,0.2667,-2.4666,-2.1999
gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,False,OpenAI,pure_dominant,0.0,-3.0,-3.0
gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,sabotage,False,OpenAI,pure_dominant,0.0,-3.0,-3.0
gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,self,False,OpenAI,pure_dominant,0.0,-3.0,-3.0
gpt-5.5,rock_paper_scissors,Rock Paper Scissors,neutral,False,OpenAI,mixed,0.6,0.0,0.6
gpt-5.5,rock_paper_scissors,Rock Paper Scissors,real,False,OpenAI,mixed,1.0,0.0,1.0
gpt-5.5,rock_paper_scissors,Rock Paper Scissors,sabotage,False,OpenAI,mixed,1.0,0.0,1.0
gpt-5.5,rock_paper_scissors,Rock Paper Scissors,self,False,OpenAI,mixed,1.0,0.0,1.0
gpt-5.5,stag_hunt,Stag Hunt,neutral,False,OpenAI,multiple,0.24,2.96,3.2
gpt-5.5,stag_hunt,Stag Hunt,real,False,OpenAI,multiple,0.0,2.0,2.0
gpt-5.5,stag_hunt,Stag Hunt,sabotage,False,OpenAI,multiple,0.0,2.0,2.0
gpt-5.5,stag_hunt,Stag Hunt,self,False,OpenAI,multiple,0.0,2.0,2.0
gpt-5.5,zero_sum_matching,Zero-Sum Matching,neutral,False,OpenAI,mixed,0.0,3.0,3.0
gpt-5.5,zero_sum_matching,Zero-Sum Matching,real,False,OpenAI,mixed,0.0,3.0,3.0
gpt-5.5,zero_sum_matching,Zero-Sum Matching,sabotage,False,OpenAI,mixed,0.0,3.0,3.0
gpt-5.5,zero_sum_matching,Zero-Sum Matching,self,False,OpenAI,mixed,0.0,3.0,3.0
o4-mini,battle_of_sexes,Battle of the Sexes,neutral,True,OpenAI,multiple,0.2133,1.5201,1.7334
o4-mini,battle_of_sexes,Battle of the Sexes,real,True,OpenAI,multiple,0.32,0.88,1.2
o4-mini,battle_of_sexes,Battle of the Sexes,sabotage,True,OpenAI,multiple,0.0,2.0,2.0
o4-mini,battle_of_sexes,Battle of the Sexes,self,True,OpenAI,multiple,0.25,0.75,1.0
o4-mini,coordination_game,Coordination Game,neutral,True,OpenAI,multiple,0.0,2.0,2.0
o4-mini,coordination_game,Coordination Game,real,True,OpenAI,multiple,0.0,2.0,2.0
o4-mini,coordination_game,Coordination Game,sabotage,True,OpenAI,multiple,0.1955,1.0711,1.2666
o4-mini,coordination_game,Coordination Game,self,True,OpenAI,multiple,0.0,2.0,2.0
o4-mini,hawk_dove,Hawk-Dove,neutral,True,OpenAI,multiple,0.07,0.53,0.6
o4-mini,hawk_dove,Hawk-Dove,real,True,OpenAI,multiple,0.25,1.25,1.5
o4-mini,hawk_dove,Hawk-Dove,sabotage,True,OpenAI,multiple,1.0,-1.0,0.0
o4-mini,hawk_dove,Hawk-Dove,self,True,OpenAI,multiple,0.4166,-0.0832,0.3334
o4-mini,matching_pennies,Matching Pennies,neutral,True,OpenAI,mixed,0.0,1.0,1.0
o4-mini,matching_pennies,Matching Pennies,real,True,OpenAI,mixed,0.0,1.0,1.0
o4-mini,matching_pennies,Matching Pennies,sabotage,True,OpenAI,mixed,0.0,1.0,1.0
o4-mini,matching_pennies,Matching Pennies,self,True,OpenAI,mixed,0.0,1.0,1.0
o4-mini,prisoners_dilemma,Prisoner's Dilemma,neutral,True,OpenAI,pure_dominant,0.0,-3.0,-3.0
o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,True,OpenAI,pure_dominant,0.0,-3.0,-3.0
o4-mini,prisoners_dilemma,Prisoner's Dilemma,sabotage,True,OpenAI,pure_dominant,0.0,-3.0,-3.0
o4-mini,prisoners_dilemma,Prisoner's Dilemma,self,True,OpenAI,pure_dominant,0.0,-3.0,-3.0
o4-mini,rock_paper_scissors,Rock Paper Scissors,neutral,True,OpenAI,mixed,1.0,0.0,1.0
o4-mini,rock_paper_scissors,Rock Paper Scissors,real,True,OpenAI,mixed,0.5334,0.0,0.5334
o4-mini,rock_paper_scissors,Rock Paper Scissors,sabotage,True,OpenAI,mixed,0.5,0.0,0.5
o4-mini,rock_paper_scissors,Rock Paper Scissors,self,True,OpenAI,mixed,0.4,0.0,0.4
o4-mini,stag_hunt,Stag Hunt,neutral,True,OpenAI,multiple,0.2222,2.4446,2.6668
o4-mini,stag_hunt,Stag Hunt,real,True,OpenAI,multiple,0.0,2.0,2.0
o4-mini,stag_hunt,Stag Hunt,sabotage,True,OpenAI,multiple,0.0,2.0,2.0
o4-mini,stag_hunt,Stag Hunt,self,True,OpenAI,multiple,0.0,2.0,2.0
o4-mini,zero_sum_matching,Zero-Sum Matching,neutral,True,OpenAI,mixed,0.0,3.0,3.0
o4-mini,zero_sum_matching,Zero-Sum Matching,real,True,OpenAI,mixed,0.0,3.0,3.0
o4-mini,zero_sum_matching,Zero-Sum Matching,sabotage,True,OpenAI,mixed,0.0,3.0,3.0
o4-mini,zero_sum_matching,Zero-Sum Matching,self,True,OpenAI,mixed,0.0,3.0,3.0
